Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d logFC	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d FDR	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d logCPM
NR_104106	Klra14-ps|EG654449|Gm15858|Klra14|Klra29|Klra31|Ly49N|OTTMUSG00000026959|-|6 F3|6 63.44 cM|pseudo	-10.7087779593439	4.4018898627568496e-16	2.45989650854889
NM_001201391	Hbb-bs|Beta-s|Hbbt1|Hbbt2|-|7|7|protein-coding	-10.491164865436199	5.2851097693875896e-15	2.2462636492232297
NM_001278161	Hbb-b1|AA409645|Hbb1|Hbbt1|Hbbt2|MommeD7|beta1|-|7 E3|7 54.85 cM|protein-coding	-10.491164865436199	5.2851097693875896e-15	2.2462636492232297
NM_010478	Hspa1b|Hsp70|Hsp70-1|Hsp70.1|hsp68|-|17 B1|17 18.5 cM|protein-coding	-9.083905501956211	3.56711030154598e-22	3.97868777498722
NM_010479	Hspa1a|Hsp70-3|Hsp70.3|Hsp72|hsp68|hsp70A1|-|17 B1|17 18.51 cM|protein-coding	-5.698980955060481	1.06189861746099e-12	2.50660709696889
NM_010649	Klra4|Chok|Klra32|Klra33|Ly-49d|Ly49d|ly49r<129>|RP23-128D23.4|6 F3|6 63.44 cM|protein-coding	-4.96104198455649	8.58824762190853e-12	2.7608141355416205
NM_173781	Rab6b|9630015C03|AI844641|C330006L04Rik|D9Bwg0185e|-|9 F1|9 54.88 cM|protein-coding	-4.684643454241731	4.23420395580383e-12	3.28571526959383
NR_002864	Peg13|-|-|15 D3|15|ncRNA	-4.455861959665531	1.26122217406759e-13	5.34701215987711
NM_008428	Kcnj8|AI448900|Kir6.1|gnite|slmbr|sltr|-|6 G2|6 74.31 cM|protein-coding	-4.1526642176689395	1.0186990730281001e-12	6.71439393543684
NM_001159904	Klrb1c|AI462337|CD161|Ly-59|Ly55c|Ly59|NK-RP1|NK1.1|NKR-P1.9|NKRP1|NKRP140|Nk-1|Nk-1.2|Nk1|Nk1.2|Nkrp1c|ly-55c|-|6 F3|6 63.09 cM|protein-coding	-4.07559380036812	1.72126645900943e-12	7.472400541079839
NM_011338	Ccl9|CCF18|MRP-2|Scya10|Scya9|RP23-320E6.3|11 C|11 50.81 cM|protein-coding	-4.038767357338109	6.400157734339059e-12	5.710912524862359
NM_170684	Cpne7|AW047065|-|8 E1|8|protein-coding	-4.00084375870253	7.96380169783453e-11	4.2044262527665
NM_001252401	Tle2|Grg2|mKIAA4188|-|10 C1|10|protein-coding	-3.9434055935844397	8.473428260009692e-09	2.68598732812451
NM_053153	Klra18|Ly49r|-|6 F3|6|protein-coding	-3.8172917155802	8.00687909228229e-09	2.97620110588777
NM_027890	Susd2|1200011D11Rik|-|10|10 B5.3|protein-coding	-3.7244112653244104	2.45101295937818e-07	2.17136678396182
NM_011851	Nt5e|2210401F01Rik|AI447961|CD73|NT|Nt5|eNT|-|9|9 E3.2|protein-coding	-3.60698966604464	1.33757303692693e-09	4.74423188968783
NM_009429	Tpt1|TCTP|Trt|p21|p23|-|14 D3|14 40.29 cM|protein-coding	-3.54099567860723	4.92189762653918e-10	9.13270944763351
NM_033042	Tnfrsf25|APO-3|DDR3|DR3|LARD|TR3|TRAMP|Tnfrsf12|WSL-1|WSL-LR|Wsl|RP23-284C20.2|4|4 E1|protein-coding	-3.49244379896071	1.3182225938013401e-09	6.682784975383179
NM_001081009	Parp8|2810430O08Rik|ARTD16|D13Ertd275e|-|13 D2.3|13 65.32 cM|protein-coding	-3.3964229627020197	8.473428260009692e-09	5.00047585198672
NM_001159883	Dnajb2|2700059H22Rik|Dnajb10|Hsj1|mDj8|-|1|1|protein-coding	-3.33385244334369	3.3598960192912104e-07	2.9611773010529703
NM_007809	Cyp17a1|Cyp17|p450c17|-|19 C3|19 38.97 cM|protein-coding	-3.32656191388676	1.01463562550104e-07	3.61725712414785
NM_001160268	Plekha6|9530028L01Rik|AU042621|Pepp3|-|1 E4|1|protein-coding	-3.0983909470634705	2.60224191721246e-07	4.31885982932783
NM_145434	Nr1d1|A530070C09Rik|R75201|RP23-395E10.7|11 D|11|protein-coding	-3.0880659603981	3.41662000700395e-06	2.74221477778272
NM_030207	Sfi1|-|RP23-191E3.10-002|11 A1|11|protein-coding	-3.0800464908288196	8.777641739092991e-08	7.226494448180049
NM_008372	Il7r|CD127|IL-7Ralpha|-|15 A1|15 4.16 cM|protein-coding	-3.0735072513663595	1.03436478917114e-07	6.4617421079589406
NM_153789	Mylip|9430057C20Rik|Mir|-|13 A5|13|protein-coding	-3.0463570208704502	1.25155344274121e-07	6.916732932024799
NM_009331	Tcf7|AI465550|TCF-1|Tcf1|RP23-223A11.3|11 B1.3|11 31.86 cM|protein-coding	-3.0138265582550603	1.4579347051696101e-07	7.765957312232209
NM_172442	Dtx4|AI449438|BC044798|D930042H13|RNF155|-|19 A|19|protein-coding	-2.99523842133466	7.058346517691141e-07	4.22728122997837
NM_018873	Srcin1|P140|SNIP|mKIAA1684|p140Cap|RP23-157O10.7|11 D|11|protein-coding	-2.9947664064480097	2.1566529252136198e-07	6.79527379064219
NM_174854	Disc1|-|RP23-368K3.1|8 E2|8 73.26 cM|protein-coding	-2.9562628613447406	2.89976268017598e-05	2.2033742625439703
NM_018805	Hs3st3b1|3-OST-3B|3OST3B1|3Ost3b|AU041882|AW536289|Hs3st3b|m3-OST-3B|RP23-407M20.2|11 B3|11 39.47 cM|protein-coding	-2.9478999378615804	5.35522595101612e-07	5.2835938050912405
NM_026116	Bbs2|2410125H22Rik|AI447581|-|8 C5|8|protein-coding	-2.9064335704401203	1.13646287510676e-05	2.82382239527957
NM_010768	Matk|CHK|HYL|Ntk|-|10 C1|10 39.72 cM|protein-coding	-2.90591666123229	1.2030161185753401e-06	4.58758201774929
NM_001083935	Pth1r|PPR|Pthr|Pthr1|-|9 F|9 60.56 cM|protein-coding	-2.9021234474884303	2.21439028381395e-05	2.4707034166372797
NM_134042	Aldh6a1|1110038I05Rik|AI314632|Mmsdh|-|12 D1|12 39.21 cM|protein-coding	-2.86073546138363	1.37272071136894e-05	2.91128085693755
NM_001256107	Mib2|2210008I11Rik|Zzank1|skd|RP23-183D11.7|4 E2|4|protein-coding	-2.82299194877424	1.10343361576731e-06	6.87235797631404
NM_013687	Tcp11|D17Ken1|Tcp-11|RP23-31O23.4|17 A3-B|17 14.62 cM|protein-coding	-2.79482343898213	6.0285905743674706e-05	2.32059722853294
NM_172909	Cd163l1|B430307C05|E430002D04Rik|Scart1|-|7 F4|7|protein-coding	-2.78829913357156	6.04472007687864e-06	3.81631964093476
NM_153590	Klre1|Klre-1|NKG2I|-|6 F3|6|protein-coding	-2.7438432355978	3.01377265285971e-06	5.682752725707481
NM_023680	Tnfrsf22|2810028K06Rik|C130035G06Rik|SOBa|Tnfrh2|Tnfrsf1al2|mDcTrailr2|-|7 F5|7 88.27 cM|protein-coding	-2.68125291380581	0.000200691084252304	2.10148652206282
NM_199449	Zhx2|Afr-1|Afr1|Raf|mKIAA0854|-|15 D1|15 24.01 cM|protein-coding	-2.64562986238323	1.1466533030904302e-05	4.7481155797783705
NM_011538	Tbx6|rv|-|7 F3|7 69.25 cM|protein-coding	-2.5985626034836002	0.00025093670999991297	2.26658489012696
NR_030703	Snord104|-|-|11|11|snoRNA	-2.57512113578472	2.73949144183844e-05	4.23440782367489
NR_105744	Mir6236|mmu-mir-6236|-|-|ncRNA	-2.50155781184812	2.2231878332673003e-05	6.996903729799111
NM_001001885	Tmem151a|AW125688|Gm961|Tmem151|-|19 A|19|protein-coding	-2.48962508940194	7.84497332468289e-05	3.69901106774545
NM_018883	Camkk1|AI846603|CaMKKalpha|Camkk|RP23-263M10.4|11 B4|11|protein-coding	-2.48758717875177	0.000329547491962112	2.51002101879514
NM_177312	6330408A02Rik|-|-|7 A1|7|protein-coding	-2.48192925120161	0.0007041016042837541	2.05665210478394
NM_001128146	5830411N06Rik|Scart2|-|7 F4|7|protein-coding	-2.46741227028377	0.000285780378579736	2.72974887705813
NM_178699	B930041F14Rik|MNCb-3966|RP23-183D11.6|4 E2|4|protein-coding	-2.4663665343049104	0.000717164913374723	2.10106772604377
NM_177687	Crebl2|AI046348|B230205M03|-|6 G1|6|protein-coding	-2.4511026948776804	5.8255821930896707e-05	4.650779859024089
NR_015556	2610035D17Rik|-|RP23-468D17.1|11 E2|11|ncRNA	-2.42212289056465	0.00020192422179951498	3.1279249657766197
NM_009354	Tert|EST2|TCS1|TP2|TR|TRT|-|13 C1|13 40.12 cM|protein-coding	-2.41006182731743	0.000976505740675976	2.10967796998658
NM_007419	Adrb1|Adrb-1|beta-AR|-|19 D2|19 51.96 cM|protein-coding	-2.40653298824412	0.000228841505063775	3.11493996946755
NM_009593	Abcg1|AW413978|Abc8|White|-|17|17|protein-coding	-2.39961852765206	6.21021881271186e-05	5.953863734834889
NM_177115	March3|6330411I15Rik|A530081L18Rik|AI843639|MARCH-III|-|18 D2|18|protein-coding	-2.38266043260567	0.000781405177542014	2.3347404538021803
NM_144811	Cbx7|1600014J01Rik|AI851678|D15Ertd417e|-|15 E1|15 37.85 cM|protein-coding	-2.3801862972044905	5.96927498067418e-05	7.78473171050784
NM_153122	Oplah|1700010G02Rik|-|15 D3|15|protein-coding	-2.36823705118081	0.000145655919537592	4.27522318115518
NM_009343	Phf1|AW557215|D17Ertd455e|PHF2|Tctex-3|Tctex3|mPcl1|-|17 A3.3|17 13.6 cM|protein-coding	-2.33675262725744	8.82356766763443e-05	7.380983750248831
NM_001278534	Rgag4|6430402L03Rik|Mar5|Mart5|mKIAA2001|RP23-448C18.4|X D|X|protein-coding	-2.3165219139547797	0.000540657729701543	2.869589249453
NM_153550	Dirc2|RCC4|-|16 B3|16|protein-coding	-2.30939262659011	0.000237424833069498	4.16632415611968
