Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d logFC	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d FDR	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d logCPM
NM_153544	BC030867|-|RP23-461C4.3|11 D|11|protein-coding	7.62291433999872	7.88781390729197e-21	4.02427071949745
NM_001013368	E2f8|4432406C08Rik|AA410048|-|7 B4|7|protein-coding	7.266680638989531	8.89667050595458e-26	6.35004130213624
NM_001039556	Rad54b|E130016E03Rik|RP23-242O9.3|4 A1|4|protein-coding	7.16445243915192	9.18011350521577e-19	3.57200182843453
NM_001081363	Cenpf|6530404A22Rik|AI325968|CENF|Lek1|PRO1779|mitosin|-|1 H6|1 95.03 cM|protein-coding	7.09361513242854	8.984710258002779e-25	6.0276175076216605
NM_144526	Fam64a|2610008F03Rik|6720460F02Rik|AI115087|CATS|RP23-207N15.1|11 B4|11|protein-coding	7.045339644187241	5.66864270222395e-21	4.41914494113411
NM_029523	Depdc1a|5830484J08Rik|Depdc1|-|3 H4|3|protein-coding	7.0197416589502595	4.78841536189924e-16	2.87961364174787
NM_026515	2810417H13Rik|AA409629|Ns5apt9|Ns5atp9|PAF15|Paf|mKIAA0101|p15(PAF)|-|9 C|9|protein-coding	6.30210372771402	1.62038629343634e-22	6.99644282428012
NM_001014976	Espl1|AL024103|AU045071|Cerp|ESP1|PRCE|SSE|-|15 F3|15|protein-coding	6.252751640852869	5.4609583824212195e-22	6.34113666187696
NM_013552	Hmmr|AA386826|CD168|Rhamm|RP23-382C18.3|11 A5|11 24.4 cM|protein-coding	6.2126210258087005	2.36450618221543e-20	5.157374288333799
NM_181589	Ckap2l|2010016H04Rik|2610318C08Rik|AV070319|radmis|rdm|RP23-160G19.6|2 F1|2|protein-coding	6.20058009184448	1.7262310614571696e-21	6.05638711021055
NM_134471	Kif2c|4930402F02Rik|ESTM5|Knsl6|MCAK|X83316|RP23-59L24.10-001|4 D1|4 53.42 cM|protein-coding	6.1134987807768795	1.24864487558151e-20	5.5859873108044
NM_028039	Esco2|2410004I17Rik|D030072L07Rik|-|14 D1|14|protein-coding	6.074240894226019	2.58280626487098e-20	5.4327471377486205
