Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. RNA-LCMV-0d logFC	KLRGhi-LCMV-12d vs. RNA-LCMV-0d FDR	KLRGhi-LCMV-12d vs. RNA-LCMV-0d logCPM
NM_028878	Slc6a19|4632401C08Rik|B<0>AT1|-|13 C1|13|protein-coding	13.776712566317501	4.4771786609581796e-33	5.54879849309095
NM_008417	Kcna2|Akr6a4|ENSMUSG00000074335|Gm10672|Kca1-2|Kv1.2|Mk-2|-|3 F2.3|3 46.61 cM|protein-coding	13.573194747106099	5.082609176684679e-32	5.34574564913904
NM_001033303	Ampd1|AI553520|Ampd-1|-|3 F2.2|3 45.25 cM|protein-coding	12.7685394375144	1.36658116958305e-27	4.543728769513611
NM_009345	Dntt|Tdt|-|19 C3|19 34.32 cM|protein-coding	12.167825202144401	2.88267302767731e-24	3.9462005309287
NM_028044	Cnn3|1600014M03Rik|C85854|Calpo3|-|3 G1|3|protein-coding	12.0634491262271	1.0111434575214901e-23	3.8425260839025803
NM_026639	Art4|4432404K01Rik|ARTC4|DO|DOK1|-|6 G1|6 66.72 cM|protein-coding	11.822502310086	2.04603590277518e-22	3.60340609839984
NM_172546	Cnksr3|6820402C05|BC024086|Magi1|-|10 A1|10|protein-coding	11.444429919695	2.18857204115124e-20	3.22888993935287
NM_022420	Gprc5b|AW125761|Raig2|-|7 F3|7|protein-coding	11.3276098402372	9.14549163383447e-20	3.11337011890961
NM_001281929	Gria3|2900064I19Rik|GluA3|GluR-C|GluR-K3|Glur-3|Glur3|Gluralpha3|RP23-471M13.1|X A3.3-A4|X 23.19 cM|protein-coding	11.124707621993402	1.06261170938936e-18	2.9129909824428903
NM_175414	Tspan9|6720474K14Rik|9430079M16Rik|AU018597|-|6 F3|6|protein-coding	10.9006928977545	1.53806071730275e-17	2.69220390084288
