Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-7d vs. RNA-LCMV-0d logFC	KLRGhi-LCMV-7d vs. RNA-LCMV-0d FDR	KLRGhi-LCMV-7d vs. RNA-LCMV-0d logCPM
NM_178609	E2f7|A630014C11Rik|D10Ertd739e|-|10 D1|10 57.74 cM|protein-coding	-13.118592872133	1.16752623943045e-29	4.9025157681957
NM_001081085	Sapcd2|2010317E24Rik|6030458L21Rik|AL033337|ang|RP23-47P18.4|2 A3|2|protein-coding	-12.715042630331599	1.74122908277004e-27	4.50084652437587
NM_001081984	Popdc2|AV006127|Pop2|-|16 B3|16|protein-coding	-12.4244585515991	6.448610302018e-26	4.21197477540528
NM_030159	Troap|AW476063|E130301L11Rik|tastin|-|15|15 F3|protein-coding	-12.416180584313901	7.03292428386436e-26	4.20375070126876
NM_028222	Cdkn3|2410006H10Rik|KAP|-|14|14 C1|protein-coding	-12.367637873666197	1.2789869356387898e-25	4.15553017474548
NM_023209	Pbk|2810434B10Rik|AW538537|D14Ertd732e|TOPK|-|14 D1|14 34.36 cM|protein-coding	-12.290485012441199	3.4540283499230293e-25	4.07891166127243
NR_033657	Miat|3632434I06|A230057G18Rik|Rncr2|gomafu|-|5 F|5|ncRNA	-12.2185241654893	8.355938025422719e-25	4.00747494749363
NM_173414	Lancl3|6030463G20Rik|RP23-423L11.1|X A1.1|X|protein-coding	-11.6479224217498	9.94803892612348e-22	3.44206357361745
NM_001025602	Il1rl1|DER4|Fit-1|Ly84|ST2L|St2|St2-rs1|T1|T1/ST2|-|1 B|1 19.19 cM|protein-coding	-11.556727006919902	2.9112679410203696e-21	3.35189744646884
NM_027571	P2ry12|2900079B22Rik|4921504D23Rik|P2Y12|-|3 D|3|protein-coding	-11.526283427068801	4.19518772934459e-21	3.3218116462236202
NM_001013373	Tmprss13|BC010843|Tpmrss13|-|9 A5.2|9|protein-coding	-11.3976470395405	2.0539918194672898e-20	3.19476968569601
NM_001004174	AA467197|Nmes1|RP23-101F14.3|2 E5|2|protein-coding	-11.354976698542302	3.50426318516066e-20	3.1526590699156998
NM_134250	Havcr2|TIM-3|Tim3|Timd3|RP23-248K2.7|11 B1.1|11|protein-coding	-11.118549569461301	8.196365842280079e-35	6.092266341641799
NM_029523	Depdc1a|5830484J08Rik|Depdc1|-|3 H4|3|protein-coding	-11.1101265736212	7.08367787356123e-19	2.9113454524963798
NR_028591	Gm14005|OTTMUSG00000015351|-|2 F1|2|ncRNA	-10.9357860602092	5.6305471788724496e-18	2.73989505720039
NM_019819	Dusp14|1110014C10Rik|2310042C07Rik|D11Ertd395e|MKP-L|Mkp6|RP23-395B22.3|11 C|11 51.29 cM|protein-coding	-10.918307615204402	6.8743873287806295e-18	2.7227250542981
NM_001281487	Cdc20b|EG238896|EG622422|-|13 D2.2|13|protein-coding	-10.876681751845501	1.11892748116914e-17	2.6818481656149
NM_001284525	Chit1|2300002L19Rik|-|1 E4|1|protein-coding	-10.8024039928756	2.7174169203625103e-17	2.6089587197003197
NM_001081406	Lrr1|2410005L11Rik|AU021780|LRR-1|Ppil5|-|12|12 C3|protein-coding	-10.7832212469262	3.43351811246618e-17	2.590145618261
