Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGlo-LCMV-12d vs. KLRGlo-LCMV-7d logFC	KLRGlo-LCMV-12d vs. KLRGlo-LCMV-7d FDR	KLRGlo-LCMV-12d vs. KLRGlo-LCMV-7d logCPM
NM_175647	Dmrta1|Dmrt4|RP23-458E2.1|4 C5|4|protein-coding	-10.076700401140801	1.21975810059944e-12	2.11098605624115
NM_010479	Hspa1a|Hsp70-3|Hsp70.3|Hsp72|hsp68|hsp70A1|-|17 B1|17 18.51 cM|protein-coding	-5.62945222724403	7.060228346164581e-13	2.77190445380534
NR_002864	Peg13|-|-|15 D3|15|ncRNA	-4.8091202249783604	1.8976407474574103e-15	5.95682158609998
NM_008939	Prss12|Bssp-3|motopsin|-|3|3 G3|protein-coding	-4.45339535928933	3.2333825938057898e-09	2.29017442342106
NM_001159904	Klrb1c|AI462337|CD161|Ly-59|Ly55c|Ly59|NK-RP1|NK1.1|NKR-P1.9|NKRP1|NKRP140|Nk-1|Nk-1.2|Nk1|Nk1.2|Nkrp1c|ly-55c|-|6 F3|6 63.09 cM|protein-coding	-3.90433114550915	3.2640252596015504e-11	5.98145600239471
NM_010478	Hspa1b|Hsp70|Hsp70-1|Hsp70.1|hsp68|-|17 B1|17 18.5 cM|protein-coding	-3.88460236069536	6.37388933375369e-10	3.91886253175766
NM_008372	Il7r|CD127|IL-7Ralpha|-|15 A1|15 4.16 cM|protein-coding	-3.83170285204237	2.58140770091162e-11	9.0796517334304
NM_001115154	Samd3|Gm623|-|10 A4|10|protein-coding	-3.65668585658768	1.29832430434301e-09	4.91425034456467
NM_145434	Nr1d1|A530070C09Rik|R75201|RP23-395E10.7|11 D|11|protein-coding	-3.6069608262716204	1.6238931095462302e-07	2.8085770304958397
NM_009706	Arhgap5|p190-B|p190B|-|12 C1|12 22.16 cM|protein-coding	-3.20834696045223	3.28104040497036e-06	2.7071883985240204
NM_011703	Vipr1|AV071699|VIP-R1|VPAC1|-|9 F4|9 72.5 cM|protein-coding	-3.12222333981513	1.6238931095462302e-07	5.3744723203993
NM_172442	Dtx4|AI449438|BC044798|D930042H13|RNF155|-|19 A|19|protein-coding	-3.12164281599643	4.45000566315716e-07	4.21914424681571
NM_173744	Tdrp|2610019F03Rik|-|8 A1.1|8|protein-coding	-3.11733457165828	2.7122515751481097e-06	3.04137927885723
NM_025718	Dnase1l2|4733401H14Rik|-|17 A3.3|17|protein-coding	-3.06493169963342	6.89483722934143e-06	2.85205637805569
NM_030199	Zfp623|2610029D06Rik|AI847036|-|15 D3|15|protein-coding	-2.99652340710949	5.79577038304158e-06	3.2564170523487204
NM_001195727	Gm5901|EG545989|-|7|7|protein-coding	-2.94319401559408	6.0512458085250294e-05	2.27814064260829
NM_011851	Nt5e|2210401F01Rik|AI447961|CD73|NT|Nt5|eNT|-|9|9 E3.2|protein-coding	-2.92916053814933	1.4011691870590299e-06	4.902182064066509
NM_030207	Sfi1|-|RP23-191E3.10-002|11 A1|11|protein-coding	-2.87107876816098	1.05108477792474e-06	7.07927799895228
NM_173781	Rab6b|9630015C03|AI844641|C330006L04Rik|D9Bwg0185e|-|9 F1|9 54.88 cM|protein-coding	-2.85360826178002	1.04272452931827e-05	3.5374248224677207
NM_010234	Fos|D12Rfj1|c-fos|cFos|-|12 D2|12 39.7 cM|protein-coding	-2.82919692745327	1.37054285147827e-06	8.00199499503369
NM_177687	Crebl2|AI046348|B230205M03|-|6 G1|6|protein-coding	-2.77698444762517	7.03791711342733e-06	4.53992470753594
NM_001081009	Parp8|2810430O08Rik|ARTD16|D13Ertd275e|-|13 D2.3|13 65.32 cM|protein-coding	-2.7438290534550296	5.0174858859958195e-06	5.6435483014863
NM_153789	Mylip|9430057C20Rik|Mir|-|13 A5|13|protein-coding	-2.6813076805462	7.0064168758242705e-06	6.49515829032572
NR_105744	Mir6236|mmu-mir-6236|-|-|ncRNA	-2.6773850809377002	6.60667080839163e-06	7.18015391087497
NM_170684	Cpne7|AW047065|-|8 E1|8|protein-coding	-2.63708776648194	0.00037673840614122796	2.32059094964692
NM_029658	Fam101b|1500005K14Rik|RefilinB|cfm|RP23-96I9.3|11|11 B4|protein-coding	-2.6177461707818503	2.5376508375162302e-05	4.49037691069854
NM_183201	Slfn5|AI956840|RP23-392I13.5|11 C|11|protein-coding	-2.5251826170197798	3.48401720021213e-05	5.519174183341611
