Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGlo-LCMV-12d vs. RNA-LCMV-0d logFC	KLRGlo-LCMV-12d vs. RNA-LCMV-0d FDR	KLRGlo-LCMV-12d vs. RNA-LCMV-0d logCPM
NM_001081115	Nccrp1|1190020J12Rik|Gm163|NCCRP-1|-|7 A3|7|protein-coding	-11.277782124221098	5.82293249336412e-19	3.33901820785142
NM_173414	Lancl3|6030463G20Rik|RP23-423L11.1|X A1.1|X|protein-coding	-10.9843767358689	1.93941913403818e-17	3.0417520616159397
NM_001081984	Popdc2|AV006127|Pop2|-|16 B3|16|protein-coding	-10.8034063978163	1.62496732345106e-16	2.85822156077032
NM_175641	Ltbp4|2310046A13Rik|-|7 A3|7|protein-coding	-10.4217803725809	1.4502995182966497e-14	2.4708987447599
NM_015789	Dkkl1|AI414495|SGY|SGY-1|SGY1|Soggy|mSgy|-|7 B4|7 29.19 cM|protein-coding	-10.2230317695565	1.18635316986294e-13	2.26914260444917
NR_121571	Plcd1|AW212592|C79986|-|9 F3|9|protein-coding	-10.1849289727535	1.8896890443912302e-13	2.2304705143327
NM_001033228	Itga1|CD49A|E130012M19Rik|Vla1|-|13 D2.2|13 64.61 cM|protein-coding	-10.165397447088699	2.1379607410984298e-28	5.15079470756799
NM_027571	P2ry12|2900079B22Rik|4921504D23Rik|P2Y12|-|3 D|3|protein-coding	-9.97767853726542	1.8256364460235e-12	2.02022140772504
NM_009915	Ccr2|Cc-ckr-2|Ccr2a|Ccr2b|Ckr2|Ckr2a|Ckr2b|Cmkbr2|mJe-r|-|9 F|9 75.05 cM|protein-coding	-8.81554271607692	5.54664075618648e-35	7.93597001812701
NM_001045543	Heatr9|Gm11435|OTTMUSG00000000990|RP23-320E6.1|11 C|11|protein-coding	-8.79243161549347	8.35493629392987e-28	5.23101782663239
