Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGlo-LCMV-12d vs. RNA-LCMV-0d logFC	KLRGlo-LCMV-12d vs. RNA-LCMV-0d FDR	KLRGlo-LCMV-12d vs. RNA-LCMV-0d logCPM
NM_008417	Kcna2|Akr6a4|ENSMUSG00000074335|Gm10672|Kca1-2|Kv1.2|Mk-2|-|3 F2.3|3 46.61 cM|protein-coding	13.2699044630378	2.47112081577123e-28	5.368788057075441
NM_016894	Ramp1|9130218E19Rik|-|1 D|1 46.08 cM|protein-coding	13.050700511842198	2.51205565115366e-27	5.15199067140073
NM_008338	Ifngr2|Ifgr2|Ifgt|-|16 C3.3|16 53.07 cM|protein-coding	12.8364259063696	3.7914509593179196e-26	4.94041722068479
NM_001033303	Ampd1|AI553520|Ampd-1|-|3 F2.2|3 45.25 cM|protein-coding	12.4652698340924	3.8757407098877695e-24	4.574892298743269
NM_009345	Dntt|Tdt|-|19 C3|19 34.32 cM|protein-coding	11.864580582760599	6.726022961517609e-21	3.98650111754435
NM_028044	Cnn3|1600014M03Rik|C85854|Calpo3|-|3 G1|3|protein-coding	11.7602100108589	2.17152369629427e-20	3.88474895105685
NM_001277255	Acvrl1|AI115505|AI427544|Acvrlk1|Alk1|-|15|15 F3|protein-coding	11.5288391454479	3.47817028614453e-19	3.65977186035644
NM_010517	Igfbp4|AI875747|Deb2|IGFBP-4|RP23-333D2.6|11 D|11|protein-coding	11.3674883599666	3.13717701607382e-35	6.9656965806867
NM_011113	Plaur|Cd87|u-PAR|uPAR|-|7 A3|7|protein-coding	11.2454285034338	1.0199740196547901e-17	3.38540678361982
NM_172546	Cnksr3|6820402C05|BC024086|Magi1|-|10 A1|10|protein-coding	11.1412330603969	3.17637353400113e-17	3.2849033007400203
NM_001281929	Gria3|2900064I19Rik|GluA3|GluR-C|GluR-K3|Glur-3|Glur3|Gluralpha3|RP23-471M13.1|X A3.3-A4|X 23.19 cM|protein-coding	10.8215408098752	1.35265335801555e-15	2.9778869205125997
NM_175414	Tspan9|6720474K14Rik|9430079M16Rik|AU018597|-|6 F3|6|protein-coding	10.5975514770819	1.76025137069829e-14	2.76408876616643
NM_019417	Pdlim4|Ril|RP23-354D12.3|11 B1.3|11 32.13 cM|protein-coding	10.5914808913348	1.9110987433464697e-14	2.75831035993487
NM_011197	Ptgfrn|4833445A08Rik|AU042434|CD9P-1|FPRP|Trim45|DN-358O3.4|3|3 F3|protein-coding	10.3467668006184	2.64144811416815e-13	2.52611232361241
NM_018752	Trpm1|4732499L03Rik|AI606771|Ltrpc1|Mlsn1|melastatin|-|7 C|7 34.61 cM|protein-coding	10.2728245267519	5.998624291020229e-13	2.45624446852419
NM_001081426	Dip2c|2900024P20Rik|9630044M06|mKIAA0934|-|13 A1|13|protein-coding	10.2265688998892	1.00287095389617e-12	2.41260914060519
NM_029653	Dapk1|D13Ucla1|DAP-Kinase|-|13 B2|13 32.53 cM|protein-coding	10.2187133620038	1.00287095389617e-12	2.40520413576388
NM_172525	Arhgap29|6720461J18Rik|A830014I19|AU040217|B130017I01Rik|C76601|Parg1|-|3 G1|3|protein-coding	10.1787809626149	1.5203829145323602e-12	2.36758699444257
NM_176996	Smo|E130215L21Rik|Smoh|bnb|smoothened|-|6 A3.3|6 12.36 cM|protein-coding	10.0430204602121	6.59098231193033e-12	2.2400160436408902
NM_008076	Gabrr2|-|RP23-12I24.2|4 A5|4 14.64 cM|protein-coding	10.006985825087199	9.22755188646891e-12	2.20623929324829
NM_001166064	Syde2|C430017H16Rik|-|3 H2|3|protein-coding	9.86322347713021	4.04136966918641e-11	2.0718459151258
NM_009238	Sox4|AA682046|Sox-4|RP23-262C6.1|13 A3-A5|13 12.87 cM|protein-coding	8.187614910866179	3.8721159181483895e-19	3.82701365896573
NM_001085518	Gm14085|OTTMUSG00000015615|RP23-357I14.1|2 E5|2|protein-coding	7.95340814825006	5.317385738659e-26	5.7799918560515495
NM_008399	Itgae|A530055J10|CD103|aM290|alpha-E1|alpha-M290|RP23-263M10.6|11 B4|11 45.22 cM|protein-coding	7.66407574067088	6.902549934575971e-29	7.312707874599861
NM_008976	Ptpn14|C130080N23Rik|OTTMUSG00000022087|PTP36|-|1 H6|1 95.03 cM|protein-coding	7.607104805095769	3.8605142640114395e-16	3.26679242186548
NM_022420	Gprc5b|AW125761|Raig2|-|7 F3|7|protein-coding	7.51544762535607	1.13166069296e-15	3.1789696676246204
NM_001267622	Ttc28|2310015L07Rik|6030435N04|AI428795|AI851761|BC002262|TPRBK|-|5 F|5|protein-coding	7.34469242225705	1.1904823873817398e-22	5.1799719204779295
NM_145933	St6gal1|AW742324|Siat1|St6Gal-I|St6gal|St6galI|-|16 B1|16 14.03 cM|protein-coding	7.305134365250209	6.639914983551871e-28	7.48346604458414
NM_001166065	Gcnt4|C2gnt3|Gm279|Gm73|-|13 D1|13|protein-coding	7.28110459288126	1.69545671554367e-14	2.95531292603288
NM_027395	Basp1|2610024P12Rik|CAP-23|CAP23|Ckap3|NAP-22|NAP22|-|15 B1|15|protein-coding	7.16525347224987	6.08060908102609e-14	2.84524003905923
NM_029935	Chst15|4631426J05Rik|BRAG|GalNAcS-6ST|MAd5|mKIAA0598|-|7|7 F4|protein-coding	7.00393840030168	3.52370527994289e-20	4.5355579320734805
NM_207205	Igsf3|1700016K10Rik|2810035F16Rik|4833439O17Rik|mKIAA0466|-|3 F2.2|3 44.3 cM|protein-coding	6.685911227522089	1.03343732371691e-11	2.39364279347503
NM_028878	Slc6a19|4632401C08Rik|B<0>AT1|-|13 C1|13|protein-coding	6.62507782935192	4.30327870412421e-22	5.58445739349162
NM_027373	Afap1|2600003E23Rik|9630044L16Rik|AI848729|Afap|mKIAA3018|-|5|5 B1|protein-coding	6.5058395071660495	1.4298476351285903e-17	4.05170216146881
NM_053117	Pard6g|2410049N21Rik|Par6a|-|18 E3|18|protein-coding	6.49197979844137	8.66926240091623e-14	3.10140880933249
NM_001166625	Ccr9|A130091K22Rik|Cmkbr10|GPR-9-6|-|9 F|9 74.33 cM|protein-coding	6.41986333790738	3.08584768006059e-24	7.75981937016698
NM_010145	Ephx1|AI195553|Eph-1|Eph1|mEH|-|1 H4|1 84.48 cM|protein-coding	6.388215462336559	7.68091645568984e-21	5.4756132598273
NM_001080934	Slc16a5|A130015N09Rik|MCT 5|MCT 6|MCT5|RP23-392H19.4|11 E2|11|protein-coding	6.37330245672241	2.17903742057822e-21	5.6798347633074995
NM_001271411	Nfam1|4921501M20Rik|Cnaip|-|15|15 E2|protein-coding	6.3441345975288295	3.4109102108577604e-10	2.0758205504737197
NR_033793	Bend5|2310026E23Rik|RP23-186F24.1|4|4 C7|protein-coding	6.281919136128019	6.48015544504574e-10	2.0183733116747797
NM_146260	Tmie|5131400L21Rik|Mm.87012|sr|-|9 F3|9 60.79 cM|protein-coding	6.27670278090119	6.980768805596091e-15	3.4386947854562098
NM_010513	Igf1r|A330103N21Rik|CD221|D930020L01|IGF-1R|hyft|-|7 D1|7 37.27 cM|protein-coding	6.251163451099	8.95515825215436e-18	4.3668877951682
NM_022995	Pmepa1|2210418I02Rik|AW455466|Erg1.2|N4wbp4|Stag1|Tmepai|RP23-412O4.1|2 H3|2|protein-coding	6.11660666427464	4.4102598298496205e-17	4.23670041903315
NM_010378	H2-Aa|Aalpha|H-2Aa|H2Aa|I-Aalpha|IAalpha|Ia-1|Ia1|-|17 B1|17 17.98 cM|protein-coding	5.916932425851481	4.16878634061814e-11	2.55928396538667
NM_177083	B430306N03Rik|Treml6|-|17 C|17|protein-coding	5.8512291305050494	8.912301039920109e-11	2.49797864359939
NR_027919	Bambi-ps1|-|-|2 E5|2|pseudo	5.847698450316821	2.06503544154018e-19	5.67334522503298
