Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	RNA-LCMV-0d vs. Foxo1-KO-LCMV-0d logFC	RNA-LCMV-0d vs. Foxo1-KO-LCMV-0d FDR	RNA-LCMV-0d vs. Foxo1-KO-LCMV-0d logCPM
NM_009373	Tgm2|G[a]h|TG2|TGase2|tTG|tTGas|RP23-396G1.2|2 H1|2 78.72 cM|protein-coding	4.31316018535951	1.3966212099512502e-07	2.2621858128615497
NM_008036	Fosb|-|-|7 A2-B1|7 9.56 cM|protein-coding	3.7696050775643504	2.07474576221648e-09	7.73287185710197
NM_008337	Ifng|IFN-g|Ifg|-|10 D2|10 66.75 cM|protein-coding	3.6549271483651204	1.3852071165050498e-07	3.73495087711679
NM_010479	Hspa1a|Hsp70-3|Hsp70.3|Hsp72|hsp68|hsp70A1|-|17 B1|17 18.51 cM|protein-coding	3.59698675072833	1.40157472527857e-08	7.05283118885707
NM_009864	Cdh1|AA960649|E-cad|Ecad|L-CAM|UVO|Um|-|8 D|8 53.18 cM|protein-coding	3.4437727968778904	7.564320171443291e-06	2.43406644236615
NM_011439	Sox13|AA407916|AW259412|AW540933|Sox-13|-|1 E4|1|protein-coding	3.3583501301983603	1.86706043959387e-06	3.24548115794573
NM_007758	Cr2|C3DR|CD21|CD35|Cr-1|Cr-2|Cr1|-|1 H6|1 98.44 cM|protein-coding	3.30876338788578	8.176043952772341e-06	2.6958481059576296
NM_010478	Hspa1b|Hsp70|Hsp70-1|Hsp70.1|hsp68|-|17 B1|17 18.5 cM|protein-coding	3.21323352713789	2.55933179369699e-07	8.22588409281628
NM_010444	Nr4a1|GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|TIS1|TR3|nur77|-|15|15 F|protein-coding	3.1407470422465003	4.4900216801269505e-07	9.26463170055073
NM_172909	Cd163l1|B430307C05|E430002D04Rik|Scart1|-|7 F4|7|protein-coding	3.1222028484039903	8.074639980588559e-07	6.09461739481336
