Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	RNA-LCMV-0d vs. RNA-LCMV-35d-rep2 logFC	RNA-LCMV-0d vs. RNA-LCMV-35d-rep2 FDR	RNA-LCMV-0d vs. RNA-LCMV-35d-rep2 logCPM
NM_008338	Ifngr2|Ifgr2|Ifgt|-|16 C3.3|16 53.07 cM|protein-coding	-13.225356419746499	1.58724769722898e-29	4.94020370518414
NM_001033303	Ampd1|AI553520|Ampd-1|-|3 F2.2|3 45.25 cM|protein-coding	-12.8541866701093	1.3353949279602098e-27	4.56960295258509
NM_009345	Dntt|Tdt|-|19 C3|19 34.32 cM|protein-coding	-12.2534662790257	2.11963015372428e-24	3.97023464420385
NM_001277255	Acvrl1|AI115505|AI427544|Acvrlk1|Alk1|-|15|15 F3|protein-coding	-11.9177008825072	1.2503770665588399e-22	3.63556055380756
NM_001083955	Hba-a2|-|-|11|11 18.87 cM|protein-coding	-11.709595776028198	1.48184473351069e-21	3.42829848023671
NM_008218	Hba-a1|Hba|Hba1|Hbat1|-|11 A4|11 18.86 cM|protein-coding	-11.709595776028198	1.48184473351069e-21	3.42829848023671
NM_022420	Gprc5b|AW125761|Raig2|-|7 F3|7|protein-coding	-11.413236632346	5.286038824310509e-20	3.13342168619583
NM_010517	Igfbp4|AI875747|Deb2|IGFBP-4|RP23-333D2.6|11 D|11|protein-coding	-11.258204583448201	2.42576552187363e-38	6.97943612270175
NM_001281929	Gria3|2900064I19Rik|GluA3|GluR-C|GluR-K3|Glur-3|Glur3|Gluralpha3|RP23-471M13.1|X A3.3-A4|X 23.19 cM|protein-coding	-11.2103295274137	6.4400118913471595e-19	2.93176521057123
NM_019417	Pdlim4|Ril|RP23-354D12.3|11 B1.3|11 32.13 cM|protein-coding	-10.9802370327791	9.79506963157086e-18	2.7033790816881202
NM_018752	Trpm1|4732499L03Rik|AI606771|Ltrpc1|Mlsn1|melastatin|-|7 C|7 34.61 cM|protein-coding	-10.661526041341	4.0453214393179906e-16	2.38766712956977
NM_029653	Dapk1|D13Ucla1|DAP-Kinase|-|13 B2|13 32.53 cM|protein-coding	-10.607404341693302	6.9410767943191205e-16	2.33414235657028
NM_172525	Arhgap29|6720461J18Rik|A830014I19|AU040217|B130017I01Rik|C76601|Parg1|-|3 G1|3|protein-coding	-10.5674639104638	1.06523698853763e-15	2.29466085952227
NM_030889	Sorcs2|N28137|mKIAA1329|-|5 B3|5|protein-coding	-10.5346958307269	1.6401089713422898e-15	2.2622814298428797
NM_176996	Smo|E130215L21Rik|Smoh|bnb|smoothened|-|6 A3.3|6 12.36 cM|protein-coding	-10.431674377229099	4.98681841935539e-15	2.16055693710608
