Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	RNA-LCMV-0d vs. RNA-LCMV-35d-rep2 logFC	RNA-LCMV-0d vs. RNA-LCMV-35d-rep2 FDR	RNA-LCMV-0d vs. RNA-LCMV-35d-rep2 logCPM
NM_015789	Dkkl1|AI414495|SGY|SGY-1|SGY1|Soggy|mSgy|-|7 B4|7 29.19 cM|protein-coding	11.806782587374899	4.52951931755224e-22	3.5393113421287
NM_173414	Lancl3|6030463G20Rik|RP23-423L11.1|X A1.1|X|protein-coding	11.7945855537008	5.03668408162884e-22	3.52727309765124
NM_001081115	Nccrp1|1190020J12Rik|Gm163|NCCRP-1|-|7 A3|7|protein-coding	11.1392375781571	1.3853859020399799e-18	2.8825387686748303
NR_121571	Plcd1|AW212592|C79986|-|9 F3|9|protein-coding	10.709873607450199	2.09998415470969e-16	2.46286959811679
NR_033657	Miat|3632434I06|A230057G18Rik|Rncr2|gomafu|-|5 F|5|ncRNA	10.5594086766291	1.06523698853763e-15	2.31644361832798
NM_001081984	Popdc2|AV006127|Pop2|-|16 B3|16|protein-coding	10.2907877202125	2.2296134634107397e-14	2.05599532683684
NM_001033228	Itga1|CD49A|E130012M19Rik|Vla1|-|13 D2.2|13 64.61 cM|protein-coding	10.096381107778999	5.449509414035399e-29	5.068368499543929
NM_175647	Dmrta1|Dmrt4|RP23-458E2.1|4 C5|4|protein-coding	9.410437811493061	2.03203867201931e-25	4.38722182969627
NM_018873	Srcin1|P140|SNIP|mKIAA1684|p140Cap|RP23-157O10.7|11 D|11|protein-coding	9.28965178489408	9.464416456085409e-25	4.26753150980224
NM_010128	Emp1|I-8-09|TMP|-|6 G1|6 66.25 cM|protein-coding	8.685844446405241	1.58381254290899e-29	5.8524876933663705
NM_001077189	Fcgr2b|AI528646|CD32|F630109E10Rik|Fc[g]RII|FcgRII|Fcgr2|Fcgr2a|Fcr-2|Fcr-3|Ly-17|Ly-m20|LyM-1|Lym-1|fcRII|-|1 H3|1 78.02 cM|protein-coding	8.595219213860942	7.121317585491679e-30	6.019170885164441
NM_146064	Soat2|ACAT2|D15Wsu97e|-|15 F3|15 57.33 cM|protein-coding	8.4508509668795	2.75111585413397e-24	4.35204465859373
NM_001045543	Heatr9|Gm11435|OTTMUSG00000000990|RP23-320E6.1|11 C|11|protein-coding	8.4492545524879	9.169993671534439e-26	4.90505034450305
NM_138653	Bspry|-|RP24-189G18.5|4|4 C1|protein-coding	8.31163625776044	1.38295302830862e-19	3.3024386773187797
NM_001136068	Klrc1|CD159a|NKG2A|NKG2B|RP23-145F22.5|6|6 G1-2|protein-coding	8.22604371567488	3.590427641423479e-31	6.85602877967009
NM_009915	Ccr2|Cc-ckr-2|Ccr2a|Ccr2b|Ckr2|Ckr2a|Ckr2b|Cmkbr2|mJe-r|-|9 F|9 75.05 cM|protein-coding	8.15747862433571	1.5823445663424197e-31	7.29814985172603
NM_013653	Ccl5|MuRantes|RANTES|SISd|Scya5|TCP228|RP23-320E6.2|11 C|11 50.66 cM|protein-coding	8.10025380280172	3.20792082286559e-34	12.4699080406793
NM_028341	Ttc39c|1700008N02Rik|2810439F02Rik|-|18|18 A2|protein-coding	7.97633822980798	7.91041089814441e-26	5.14764239605298
NM_019432	Tmem37|AI173373|AW540203|Pr|Pr1|-|1 E2.3|1|protein-coding	7.86402376266904	2.9423249578115696e-17	2.86404366960844
NM_133888	Smpdl3b|1110054A24Rik|AU045240|Asml3b|RP23-442A20.3|4 D2.3|4|protein-coding	7.7074193334056105	5.290112095130679e-27	5.71105798545677
NM_170684	Cpne7|AW047065|-|8 E1|8|protein-coding	7.6186683813162395	4.939000619428321e-16	2.62494672968832
NM_146119	Fam129b|9130404D14Rik|RP23-94M9.1|2 B|2|protein-coding	7.6069928453478095	5.550810849049691e-16	2.61359325945317
NM_008196	Gzmk|-|-|13 D2.2|13|protein-coding	7.570798678253619	1.7152209422930498e-24	5.00212408692228
NM_021542	Kcnk5|TASK-2|-|14 A3|14|protein-coding	7.56944181818079	9.169993671534439e-26	5.40716765767186
NM_009917	Ccr5|AM4-7|CD195|Cmkbr5|-|9 F|9 75.05 cM|protein-coding	7.497216879985019	1.70254459172725e-28	6.841876506528321
NM_178395	Zdhhc2|5730415P04Rik|6430583A19Rik|-|8 A4|8|protein-coding	7.398125281187941	4.2222462279862e-20	3.8660460815638302
NM_053190	S1pr5|Edg8|S1P5|lpB4|-|9|9 A4|protein-coding	7.31630936165282	1.09231854462693e-27	6.7818203672969295
NM_001291892	Gp49a|gp49|-|10 B3|10|protein-coding	7.279230853656711	1.7351661457317198e-19	3.7491306674653
NM_016970	Klrg1|2F1-Ag|MAFA|MAFA-L|-|6 F1|6 57.52 cM|protein-coding	7.27589551480546	1.8800317231434198e-26	6.01063373440961
NM_015736	Galnt3|-|RP23-306G16.2|2|2 C3|protein-coding	7.26562037021907	5.4563498899363495e-18	3.18516365421403
NM_007548	Prdm1|Blimp-1|Blimp1|PRDI-BF1|ZNFPR1A1|b2b1765Clo|-|10 B2|10 23.24 cM|protein-coding	7.254035834199589	7.10331618895234e-21	4.12180764341623
NM_008428	Kcnj8|AI448900|Kir6.1|gnite|slmbr|sltr|-|6 G2|6 74.31 cM|protein-coding	7.2482023196407	7.552224140852408e-27	6.243764057902429
NM_008337	Ifng|IFN-g|Ifg|-|10 D2|10 66.75 cM|protein-coding	7.192071056070759	1.33007222853423e-27	7.14143522197534
NM_009987	Cx3cr1|-|-|9 F4|9|protein-coding	7.0574287566835405	3.09514241060274e-27	7.2352124936459195
NM_010140	Epha3|AW492086|Cek4|ETK1|End3|Hek|Hek4|Mek4|Tyro4|-|16 C1.3|16|protein-coding	7.04855032075218	2.93889201011542e-13	2.07355062575171
NM_010177	Fasl|APT1LG1|CD178|CD95-L|CD95L|Fas-L|Faslg|Tnfsf6|gld|-|1 H2.1|1 69.95 cM|protein-coding	7.013636464429541	3.10542730062858e-23	5.02410294408113
NM_011311	S100a4|18A2|42a|Capl|FSp1|Mts1|PeL98|metastasin|pk9a|-|3 F1-F2|3 39.27 cM|protein-coding	6.99701327415851	1.3353949279602098e-27	8.02468569715906
NM_021334	Itgax|AI449405|Cd11c|Cr4|N418|-|7 F3|7|protein-coding	6.97458943636916	3.5215418680865395e-27	7.5490575418943795
NM_001109657	Gas7|AW124766|B230343A10Rik|Gas7-cb|RP23-338M9.2|11 B3|11|protein-coding	6.9305192847549995	4.3372979048617e-21	4.3698335749931605
NM_011313	S100a6|2A9|5B10|CALCYCLIN|Cacy|PRA|-|3 F1-F2|3 39.35 cM|protein-coding	6.901460272817039	3.09514241060274e-27	8.06007756688729
NM_010019	Dapk2|-|-|9 C|9 35.75 cM|protein-coding	6.82781853127352	7.95922600257032e-18	3.30679111070274
NM_001291894	Lilrb4|CD85K|Gp49b|HM18|ILT3|LIR-5|gp49|-|10 25.5 cM|protein-coding	6.730976352946639	2.81234248558937e-15	2.66460272528751
NM_001159904	Klrb1c|AI462337|CD161|Ly-59|Ly55c|Ly59|NK-RP1|NK1.1|NKR-P1.9|NKRP1|NKRP140|Nk-1|Nk-1.2|Nk1|Nk1.2|Nkrp1c|ly-55c|-|6 F3|6 63.09 cM|protein-coding	6.5877488069929	2.75111585413397e-24	6.32183046051044
NM_001115154	Samd3|Gm623|-|10 A4|10|protein-coding	6.579206701348809	5.87633922437741e-22	5.004028889759749
NM_144539	Slamf7|19A|19A24|4930560D03Rik|CRACC|CS1|-|1|1 H2|protein-coding	6.57055240367821	2.6373091693385496e-24	6.39742608335482
NM_001160127	Smyd1|4632404M21Rik|Bop|C78565|Zmynd18|-|6 C1|6 32.14 cM|protein-coding	6.55474942550173	2.0245229435388498e-16	3.0406322647784303
NM_010391	H2-Q10|H-2Q10|Q10|Qa10|-|17 B1|17 18.68 cM|protein-coding	6.442107118354759	7.751981010543079e-23	5.79737373841758
NM_015753	Zeb2|9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b|Zfxh1b|RP23-457H10.1|2|2 C1|protein-coding	6.38953414654975	1.8806025812479598e-22	5.6819458222095
NM_019507	Tbx21|TBT1|Tbet|Tblym|RP23-428N4.9|11|11 D|protein-coding	6.380192155669861	2.4166749744463196e-24	7.490049198647849
NM_001145801	Ctla2b|AW545568|Ctla-2b|-|13|13|protein-coding	6.342831623672321	1.39834878282155e-21	5.18104051307485
NM_001127382	Rbm47|9530077J19Rik|-|5 C3.1|5|protein-coding	6.30224866606723	6.87856082154198e-16	3.1898772733617697
NM_146191	Lrrk1|AW319595|C230002E15Rik|D130026O16Rik|mKIAA1790|-|7 C|7|protein-coding	6.2921189568063705	1.3863250570823498e-22	5.9815977488387
NM_001033254	Pak6|4732456M09|RP23-204G5.2|2 E5|2|protein-coding	6.21098785443228	6.44664229670482e-19	4.23456968437831
NM_010553	Il18rap|AcPL|IL-18R-beta|IL-18RAcP|IL-18Rbeta|IL-1RAcPL|-|1 B|1|protein-coding	6.17828101919675	1.17526248249664e-23	8.24214880063112
NM_008504	Gzmm|Lmet1|MMET-1|-|10 C|10 39.72 cM|protein-coding	6.089417367757781	1.43977531714151e-21	5.83073633131544
NM_007646	Cd38|ADPRC 1|Cd38-rs1|-|5 B3|5 23.85 cM|protein-coding	6.0762330164946405	9.21209181863878e-16	3.2791744849730997
NM_009565	Zbtb7b|Thpok|Zfp67|c-Krox|-|3 A1-A2|3 39.09 cM|protein-coding	6.076086190644151	2.8253149614481498e-21	5.66669252036889
NM_011207	Ptpn3|9530011I20Rik|PTP-H1|PTPCL|RP23-293N9.2|4 B3|4 31.66 cM|protein-coding	6.042561475269361	1.31421980507748e-15	3.2464930741102402
NM_028135	Tmem163|2610024A01Rik|SV31|-|1 E3|1|protein-coding	6.03913453916559	1.43517818036904e-17	3.9005277590630496
