	gene_name	label	KLRGhi-LCMV-7d vs. RNA-LCMV-0d logFC	KLRGlo-LCMV-7d vs. RNA-LCMV-0d logFC	KLRGhi-LCMV-12d vs. RNA-LCMV-0d logFC	KLRGlo-LCMV-12d vs. RNA-LCMV-0d logFC	RNA-LCMV-0d vs. RNA-LCMV-35d-rep2 logFC	RNA-LCMV-0d vs. Foxo1-KO-LCMV-0d logFC	RNA-LCMV-0d vs. Foxo1-KO-KLRGhi-LCMV-7d logFC	RNA-LCMV-0d vs. Foxo1-KO-KLRGlo-LCMV-7d logFC	RNA-LCMV-0d vs. Foxo1-KO-KLRGhi-LCMV-12d logFC
NM_010140	Epha3	0	-0.8952252002589651	0.9397802924164524	1.4614460619104022	2.1903747463453707	2.400948527077379	-2.8724081133954584	0.07442391754527165	-1.01803738733078	-0.8358781916379255
NM_001198971	BC049352	0	-0.5630871600486513	-0.23142650758360536	0.5302564415314193	-0.08198097570254682	0.14602747833889354	-6.971422780711352	-0.6765462914166938	-0.43824195614335254	0.22274069817450298
NM_008612	Mnat1	0	-0.09748263978200811	0.05210592180496187	-0.34023974203711005	-0.2331736972788605	-0.14759737177014792	-0.6582338276671021	0.10016094239044171	0.0042389107600968035	-0.5567328841169223
NM_001163702	Fbxo27	0	-0.019413859635559864	0.38566542584354135	0.0772664584335707	0.728372769713957	0.4291176163960753	-2.0297120400950814	0.2491294615427957	0.41869665180284976	0.32712429380243796
NM_010636	Klf12	0	0.004057457465538397	-0.13902279943177462	-0.3626235802200761	-2.401039822752334	0.04052504793156235	-0.18810965388902678	0.3977793629198367	0.3704054388585545	1.1214992070742278
NM_017405	Lsr	0	0.007388670961313532	0.7035901839760605	0.35214512124543473	0.8611031920841626	0.7846434687277196	-0.6803106508406311	0.09071710110020108	0.38626868152188254	0.05934576691196454
NM_001198833	Ddr1	0	0.029259081118665698	0.22907559618491352	-0.019838094058914107	0.6323643115023918	0.4635938418928292	-0.9845617887746569	-0.39838249360278166	-0.2951541345559683	-1.3228748387180804
NM_029384	Tmem238	0	0.04304787703355329	0.03704562636855867	0.21127770060450385	0.4030733951918063	0.5445859071280406	-0.761828674747484	-0.05707364089281222	0.031040093144762426	0.1824004229549884
NM_007467	Aplp1	0	0.10009742975636139	0.1647443869275213	0.4946239707189191	0.4209672058743481	0.40908547302467085	-1.056838211756632	0.1841402499560518	0.1315075659695494	0.4601143765960348
NM_146051	3830406C13Rik	0	0.11064915444768729	0.008687556862647714	0.1776088481526171	0.20743365671325892	0.2600802263614415	-0.45000561970889025	0.21658054356582784	0.32673401819691134	0.29146195987363266
NM_008964	Ptger2	0	0.11315747756479826	0.367810213202569	0.14921272242835726	0.680545318525155	0.7937380252104135	-1.5203017167941468	-0.19427635859170095	0.22368741914661822	-0.9188499554323701
NM_030712	Cxcr6	0	0.11614504537309274	0.3553073172450198	0.5867712525058558	0.6840092316839694	0.7028020721420817	-1.2405741051381838	-0.3350848015207689	0.2170291050261917	0.45792436224453426
NM_009465	Axl	0	0.12008471592630753	0.35861643643517754	-0.128714070174188	0.40791179142415657	0.34384374658032274	-0.43941174284910534	0.18658058387454618	0.5037206326924566	0.08407116688383384
NM_025371	Acy1	0	0.1356260397515016	0.23760408835564084	0.40969592568419305	0.5658211125651543	0.5545462994474898	-0.7527983232058051	0.08540367583440651	0.056655280313316875	0.2786037530537532
NR_003568	Gpr137b-ps	0	0.13684652155131233	0.3947779233015417	0.3568225874060676	0.3666282672024692	0.30700819619249115	-1.524299807984774	0.24752329124512895	0.17997364980824568	0.3739419913029191
NM_144869	BC021614	0	0.1377792328960307	0.3230960452374031	-0.17126855228398488	0.059514046368223765	-0.10012276736557801	-0.34768170317174313	0.2488985113998364	0.4109162137265502	-0.12420882906300364
NM_015811	Rgs1	0	0.1418354671097121	0.18011436817136192	-0.055402506651791784	0.04645824475372326	-0.050239538300531184	-0.1622420088736559	0.2658985709719551	0.31396292337613113	0.19942676169644352
NM_008210	H3f3a	0	0.14623943281583718	-0.10754205436828755	-0.3789655942549346	-0.7548173695146531	-0.5218548355097078	-0.5919397703117628	0.22067494595490297	0.09189094946307098	-0.130996943723158
NM_011409	Slfn3	0	0.14750969612501785	0.042037130371806175	-0.36050290769160553	-0.0263502100849268	-0.06186237641268893	-1.4886867991724717	0.03960864569252667	-0.050042524423748784	-0.5640118407541646
NM_026442	Cmc1	0	0.17924415829250415	0.15240655899500438	0.08428277911970321	0.20531211261051602	0.061690431375150706	-0.16994207979293383	0.2968042525790257	0.23044057889210653	0.1383600624861789
NM_001243192	Serpinb6a	0	0.18092263901232938	0.3155766463806902	0.10117728226711953	0.23818475992650595	0.1426072323252191	-0.26154003653854146	0.3984609802733144	0.5504132967242912	0.34358355693707665
NM_001001321	Slc35d2	0	0.18353164224690965	0.1780512203447108	0.30775286892734766	0.22512241034648384	0.26810847128300663	-0.42543830658052134	0.3552324578591238	0.3225752113080367	0.4137069616748317
NM_018797	Plxnc1	0	0.18557461664508096	0.1979365597598884	0.04765363070093166	0.2924525969708706	0.25675048888687074	-0.6650019860578877	0.363100039021019	0.3772498893969555	0.3920466291997658
NM_025829	Eif4e3	0	0.19437737975568947	0.16496873222600958	-0.0029286047652824936	0.01267674994085665	-0.13244637433449413	-0.5688783630755914	0.25123718283363583	0.3133822622255202	0.13071430612977122
NM_001042534	Capg	0	0.195852111247322	0.35823620878292	-0.11927102294314694	-0.17341432690246678	-0.1671081673332927	-0.04574819382133585	0.21389871865752894	0.3418053300989385	-0.4103581575602574
NM_025799	Fuca2	0	0.20217507940777507	0.23032319552413014	0.09773253441912913	0.14262551153313177	0.10474222181885214	-0.25289051115184424	0.27629939945227583	0.3587958836973261	0.16680818112709478
NM_010946	Ntan1	0	0.20286622559729733	0.16342941472734426	0.06756291209406587	0.08112448505856189	0.00885922434746316	-0.15898465148387453	0.3576538939480898	0.3422230040158984	0.25725305778085683
NM_010316	Gng3	0	0.21870131964863804	0.37900972009992645	0.017433991523224356	-0.10055340331969582	0.01652537784397421	-1.2542358869097905	0.26183450217567217	0.4029271702238595	0.005234498611576753
NM_001013817	Sp140	0	0.22744696778257364	0.09141879878651506	-0.017304566357554715	0.11281985877093424	-0.023184406775237427	-0.01772732947786637	0.4237830179581205	0.3786861564241822	0.11958012366349269
NM_013565	Itga3	0	0.22798502252671302	0.3502710910169957	0.3923955688645955	0.6172227197241344	0.4966016566285433	-0.9351718808581672	0.13163033587625278	0.38178622462323875	0.43975522908968956
NM_178357	Klf11	0	0.2356049291583672	0.22091734976706134	-0.07313456838834437	-0.22728398347278964	-0.13358965933506253	-0.39547951066358933	0.313345230524244	0.23811236326112684	0.2784048470645514
NM_011294	Sub1	0	0.24148682215511103	0.2807127824017849	0.0869107813822829	0.22502894937317347	0.05604629786595602	-0.2457558705650974	0.33226682830471965	0.37863501342367245	0.25264228322393323
NM_011364	Sh2d1a	0	0.24250331632504205	0.3561667630987374	0.33724803341824916	0.4636469800075679	0.3212489688656709	-0.6351995453153475	0.26343416486709254	0.3815983825409953	0.34476189293733756
NM_001164734	Mpp6	0	0.2441056002014902	0.2536952878184055	-0.18721941995537086	-0.013422273114741432	-0.06308194316802859	-0.14690583168981103	0.4466725880515662	0.44209823367136214	0.14754996737372894
NM_001162538	Odf2l	0	0.2460958813016909	0.39503587334431495	-0.060606691945928305	-0.20073696033222047	0.17497026989966774	0.1803457524118434	0.3428339286075563	0.2422922478089632	0.09743410220258901
NM_019388	Cd86	0	0.24961722314033327	0.425913766095853	0.023338974915246835	0.4728464810983206	0.1832064592561256	-0.4507851583888583	0.12753291201184183	0.38046051598509384	0.35329451272352047
NM_001193659	Cldn12	0	0.25059793639812666	0.30096209613048686	0.45522156709492567	0.5139288695054568	0.7736143105121601	-2.221414659949698	0.18921272137184306	0.19821194446347268	0.48125682135195796
NM_178098	4930486L24Rik	0	0.2517544094585981	0.24888272176980683	0.11025072919878195	0.3462657104781785	0.33250046398317296	-0.46531648495205424	0.14351198890730493	0.32375577096638386	0.2199094362789734
NM_008020	Fkbp2	0	0.2525962673086788	0.2697043627245898	-0.0837995674780417	-0.09849598810006369	-0.10441919608106683	0.220423247050932	0.3139435483482323	0.23713766459194935	0.01701635228799713
NM_001282096	Tjp3	0	0.2558330933156781	0.2473037797783435	0.4018229636115421	0.24711768544283746	-0.007581481032972757	-0.35439931407045694	0.3614224075879458	0.35186267277696914	0.3895357954744708
NM_001164686	Tmem29	0	0.25610637121729274	0.34190034225141136	-0.2068010618255581	-0.20510133805698275	-0.3415437735405691	-0.47296352527164076	0.3692948223024488	0.3849459038040823	-0.055510196559348884
NM_144802	Hnrnpll	0	0.258283564192908	0.2578176943219435	0.06067077024486457	0.06410619134317476	-0.040530247671319575	-0.47556693718678655	0.24916203559272687	0.32710214181528524	0.21839852614738778
NM_010581	Cd47	0	0.25943380518667325	0.21659701700545933	0.13535816433979525	0.2871332914807863	0.2733268870943599	-0.29160273953928517	0.31195860997090696	0.3195078907865989	0.3496468822720128
NM_001136071	Lsp1	0	0.2624197592920133	0.3676137444920008	0.15979327846892327	0.26075416849709393	0.12096986669284458	-0.42181275101715215	0.21912403648807705	0.2478243295935644	0.11831675959836968
NM_028959	Cep72	0	0.2629227863035942	0.20529156560187234	-0.29995520230795525	-0.020280327724181178	-0.10417882047641096	-0.1765572762837825	0.33359935803885454	0.23583034822523594	0.03630284251052435
NM_010807	Marcksl1	0	0.2641547105106281	0.1893381866739928	-0.05122250678738526	-0.43360675806147764	-0.9543133353068063	-0.2552226318471234	0.3125285338065943	0.3150708284859424	-0.43854179786835157
NM_011712	Wbp5	0	0.26597506727308995	0.23847656928487548	-0.15726982513246632	-0.0263502100849268	-0.3704724148527641	-0.5990714735022712	0.42306019901789493	0.3761503445101315	0.12574621581084497
