	gene_name	label	RNA-LCMV-0d vs. Foxo1-KO-LCMV-0d logFC	KLRGhi-LCMV-7d vs. Foxo1-KO-KLRGhi-LCMV-7d logFC	KLRGlo-LCMV-7d vs. Foxo1-KO-KLRGlo-LCMV-7d logFC	KLRGhi-LCMV-12d vs. Foxo1-KO-KLRGhi-LCMV-12d logFC
NM_172289	Slc36a4	0	0.0826578658311331	-0.568133638722316	1.7846126364073203	-4.5813044484846195
NM_027890	Susd2	0	0.27942806237210305	1.93578480743985	0.187109014886203	-2.23935461679189
NM_001164209	Tmem176b	0	0.722792625570907	0.8410384865858109	1.40649914439927	-2.9517280629857496
NM_197959	Kif18b	0	1.1128000009046202	-0.270674612244121	-0.166998924879034	-2.85461161779378
NM_026785	Ube2c	0	1.3361302127672199	-0.119582763553276	-0.195063533337638	-2.61864479672451
NM_001252401	Tle2	0	1.4417972020016399	1.15511724196676	-0.761290754897205	-2.4680724123821403
NM_011338	Ccl9	0	1.44449526267405	-1.2546029226425301	-1.9955092872482698	-2.8526205183076696
NM_001163640	Chn2	0	1.52735400616999	1.1988642578008701	0.21678228808863897	-3.33133618520059
NM_023128	Palm	0	1.6242058368141898	-0.9790854911881159	-1.52170970298927	-2.00020592931787
NM_013691	Thbs3	0	1.7107388700708601	-0.32047588533738897	-0.7135041265419151	-5.150547432170019
NM_001042605	Cd74	0	1.94993506608419	-0.0036338760572718703	0.406945770038236	-4.77321811062476
NM_010378	H2-Aa	0	2.02738068398519	-2.6739073035180696	3.1676405508100296	-0.410641348759553
NM_010700	Ldlr	0	2.04352694749793	-0.065772451276241	0.27295113909891394	-0.882792213761812
NM_001033302	Ciart	0	2.13611579145634	1.6731763289863	0.9149646695385679	-2.3759980523137902
NM_177632	Fam43a	0	2.15587551781452	-0.46093331111852504	0.706094059632898	-7.213081688290661
NM_052994	Spock2	0	2.2267916620796	0.40887207026293004	-0.5640597873110379	-3.45895144966879
NM_001033350	Bank1	0	2.3738145643777	-0.42530953815843203	0.8559598834492479	-5.1734766286487694
NM_207105	H2-Ab1	0	2.58008663422091	-0.5926474672920921	0.252127975935784	-2.62564983057342
NM_009251	Serpina3g	0	2.64743662189251	-0.0722314776649108	-0.630906365886394	-0.942110884455792
NM_146061	Prr5	0	2.8082516585155695	-0.37550286793924803	-0.0665279557323731	-0.600169556988824
NM_007897	Ebf1	0	2.92446391178402	-6.09358770292642	3.1676405508100296	0.0
NM_001077189	Fcgr2b	0	3.21592338995209	-0.8117518565486479	-2.01584422460747	-0.373561350299658
NM_007758	Cr2	0	3.30876338788578	0.7883785606869971	-0.922245804638965	-4.4629187487822
NM_009373	Tgm2	0	4.31316018535951	-2.19214664487452	-0.00504010808155469	-3.9103003254732798
NM_027571	P2ry12	0	6.18712517444253	-1.14445751717604	-0.817041869276101	-2.19329331452431
NM_001013373	Tmprss13	0	6.711534696521371	-1.86146642617598	-1.62954319646349	-4.71774120187682
NM_175641	Ltbp4	0	7.589734320073839	-1.6982923868827	-1.5157692580202902	-1.5717931664966203
NM_028878	Slc6a19	1	-2.76514406949148	0.0	1.8696878291970602	0.0
NM_153393	Col23a1	1	-0.46878262581651503	0.5867204235510101	0.23659093793019198	3.85610544843931
NM_172499	Mfsd9	1	-0.0551132569203986	0.753068934798715	3.08410729031129	-1.33529401767927
NM_008881	Plxna1	1	-0.043121292474445	-0.822197462681896	0.0342658914397324	2.3676310303473596
NM_147776	Vwa1	1	0.0	-0.461469867790995	-0.5753303789253771	3.21520544781993
NM_025378	Ifitm3	1	0.0276084979001544	2.90132132721538	1.3941147695087501	-2.47163078047602
NM_001081977	Rnf144a	1	0.102745176156452	1.18293504158116	0.9856705237615329	2.21000692941058
NM_138582	Vwa7	1	0.127297220773874	-0.05356102420814401	-0.46380087817042703	3.44945934867563
NM_013569	Kcnh2	1	0.12740106950502197	-0.622175150781877	0.9880053137125699	4.614023366180009
NM_025980	Nrarp	1	0.19735717781455103	0.7551027896632929	0.539285175236319	2.20265606313642
NM_172775	Plxnb1	1	0.318809691440706	-0.41084556678840206	1.1347109570618101	2.4152573191981297
NM_001166625	Ccr9	1	0.565170504157834	1.4732729164870502	2.10676095247736	0.24784478924445
NR_030458	Mir719	1	0.847133663968373	0.536247445492359	0.129336643605466	2.52472804029086
NM_008681	Ndrg1	1	1.60053762512259	0.795913414268408	0.567153195287339	2.5250155246152
NM_016912	Cdkl2	1	1.7401573653165001	1.22535060889702	0.632925519669906	2.6701005211341204
NM_001015046	Rap1gap2	1	1.9355554819909497	-0.0422791091287372	-0.292221931176229	0.518520852895188
NM_001198894	Gpr56	1	1.9530643553429898	1.4323800073375499	1.1059095566460402	2.12022450940502
