id	sequence_identifier	chr_name	transcription_start	transcription_end	strand	score	rpkm	gene_peak_id	gene_peak_start	gene_peak_end	gene_peak_tag_count	tss_peak_id	tss_peak_start	tss_peak_end	tss_peak_tag_count
703208	NM_001001130	chr13	67747808	67755146	1	0.953393427324531858339457751098508688	0.49480183672080420528								
280627	NM_001001144	chr9	110333389	110384900	0	2.76562096270582900198625989477092	1.1743067557655442								
702947	NM_001001152	chr13	67254879	67269055	1	0.193205174370171345282491222555714037	0.09321393520337928861								
855386	NM_001001176	chrX	106206885	106219717	1	2.91666532171306204054423907907512	1.4222409860659924								
498061	NM_001001178	chr2	58821906	58968261	1	0.003464517409892373694365529982987628	0.00134158389175174057								
487316	NM_001001181	chr18	75005888	75009443	0	5.77922759881766842473863047559743	3.2782299714724111								
83240	NM_001001182	chr2	59899927	60124682	1	0.187917838477591080008892022953469	0.07023226968621817016	1155	60125276	60125458	28.9	1155	60125276	60125458	28.9
457286	NM_001001183	chr17	25057812	25081161	1	0.08288713043706177929843120344641694	0.03798197364415924379								
243646	NM_001001184	chr8	46575686	46605346	1	1.33316988875161163354247902604760339	0.59659703048304549658								
703009	NM_001001186	chr13	67363574	67375698	1	1.10516187476416461760085732409737703	0.54221668401939429785								
703113	NM_001001187	chr13	67667442	67683481	1	0.718296515584562143200663657762530686	0.34206589921001465782								
304231	NM_001001295	chr9	64306750	64340632	1	1.04250960678694650117320577345462936	0.4605323708548263042								
441521	NM_001001297	chr2	21205797	21214674	0	0.581831282050539189964261462888056086	0.29546434071443853821								
2178	NM_001001320	chr19	3993254	3997976	0	0.027319859613051706224097139228506176	0.01494756300380154432								
702389	NM_001001321	chr13	64096324	64129286	1	1.273505479505787771412159862909091523	0.56407409641519863131								
820622	NM_001001326	chr7	109524472	109595466	1	0.005124263849770799032996874960510595	0.00211309736801575779								
616167	NM_001001327	chr5	129942326	129986690	0	0.521688186018206881122896762909855872	0.22461976296238191128	978	129941644	129941826	32.1	978	129941644	129941826	32.1
582090	NM_001001333	chr11	121204488	121222706	0	0.330843791239662671372950641706909142	0.15548154510053005586								
539759	NM_001001335	chr6	54595266	54645394	0	0.035358274273642529557409345229565347	0.01505134895899735257								
729855	NM_001001447	chr7	12897859	12909068	0	0.921514646796166450154862118299090681	0.45599363552390172159								
580743	NM_001001451	chr6	40568190	40897335	1	0.00885662158494154557795662538375755	0.00321059327510353475								
508117	NM_001001488	chr18	64531480	64612299	1	0.001406292149823173122429883267781972	0.00057324306383245506								
217864	NM_001001491	chr8	72135343	72153062	0	8.0509023359528623588305594656175	3.7944327264753425	1514	72136715	72136897	24.6				
775053	NM_001001492	chr16	96158805	96189539	1	0.007726081117511727459641401213256984	0.00344545339516616372								
219777	NM_001001493	chr8	85080953	85082089	0	9.52862232250377581252558311122291	6.4128245635797401								
540321	NM_001001495	chr6	65599116	65633145	0	0.019526721625542775046909725051954891	0.00862239772710198197								
858190	NM_001001496	chrX	160799359	160991922	1	0.013167262888147685833023420779112666	0.00498370719103864369								
340802	NM_001001565	chr1	75474810	75479522	1	4.03289085034667862510996050473262	2.2071030820051678								
785056	NM_001001566	chr1	75474571	75479522	1	7.07898962934918788640147046467	3.85054529860845								
450415	NM_001001602	chr2	35661494	35730949	0	0.064728730578117610812001586473531456	0.02674488180303710816								
635570	NM_001001735	chr8	25602304	25719717	0	3.34988501851651702391581440454122	1.3217196981220814	446	25601312	25601494	47.1	446	25601312	25601494	47.1
429739	NM_001001738	chr19	47894590	47919235	1	3.04543185075968955004755420264425	1.3880071247339825								
547107	NM_001001792	chr6	117863348	117872770	0	0.39637498444045954503706718696036298	0.19994338459480562355								
852892	NM_001001798	chrX	60223288	60404002	1	0.442430135855672122760940099569366496	0.16833597138160194798								
608773	NM_001001804	chr5	107403719	107429909	0	0.028634545875521126836146195857685867	0.01297200179726697973								
75101	NM_001001806	chr17	84185104	84187984	1	171.30656224708561213481300133830756	99.9368325101743022	393	84188489	84188671	50.3	393	84188489	84188671	50.3
765416	NM_001001881	chr16	21649140	21694529	1	0.065275112687502537740307053311148541	0.02804490610447844949								
481772	NM_001001882	chr2	181319778	181356619	0	2.77617618160545791458331563125116	1.2165595319203046								
446546	NM_001001884	chr15	99422031	99457774	1	1.172530658610577086520806813219987168	0.51531130418654594016								
422988	NM_001001885	chr19	5080731	5085473	1	1.34223296033359521390167799543730159	0.73399353406108018943								
465326	NM_001001892	chr17	33995999	34000388	1	634.44826331155443907935395571012215	350.3096500035044795								
677584	NM_001001932	chr10	95940754	96045498	0	0.30113741579972855681027952682154146	0.11999171987966039273								
602466	NM_001001980	chr5	66771061	66959408	0	0.122636323474797194305015483480999696	0.04650159546189270238								
716270	NM_001001981	chr1	78657990	78706811	0	0.08969240525985449254876706822682165	0.03827420722004848325								
283594	NM_001001983	chr16	17280347	17406360	1	2.36134527702695066880964729319772581	0.92606696978650077661								
422772	NM_001001984	chr19	4316205	4397099	1	3.23334498021880261637613595054548	1.3178911943706033	1023	4396927	4397109	32.1	1023	4396927	4397109	32.1
520507	NM_001001986	chr2	153407537	153486563	1	0.04094123800434717253556117706787932	0.0167220565044644004								
764828	NM_001001999	chr16	18620507	18629598	1	0.151878141136284770665069166583521825	0.07691980862717443205								
144916	NM_001002004	chr11	78265610	78290174	0	9.85562044036789276941358491842123	4.4933417950207069								
407229	NM_001002008	chr17	21567107	21588633	0	0.30056934759113037960812663526012	0.1388654303182102856								
68020	NM_001002011	chr3	88482014	88503086	1	0.68738110881999743443381735065988833	0.31826257800791040261								
507521	NM_001002012	chr12	76404316	76406931	0	1.97576295843890339120435630396211	1.1680203076348941								
487314	NM_001002239	chr18	75000585	75003430	0	9.36554438337752335085262036613711	5.4727822038903301								
841174	NM_001002267	chr9	123259129	123260460	1	0.280720618110342394451051348012812078	0.18384723975769451506								
689610	NM_001002268	chr10	14426768	14523373	1	0.00079674509951093305196493873624576	0.0003197144719716444								
