Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -rpkm -condenseGenes)	chr	start	end	strand	Length	Copies	Annotation/Divergence	CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-0d-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 reads FPKM
NM_001034168	chr3	126921607	126943386	-	5455.0	1	Ank2|AI835472|AW491075|Ank-2|-|3 G2|3 56.07 cM|protein-coding	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001034100	chrX	14211148	14211657	+	507.0	1	Gm5382|EG385328|RP23-81B16.1|X A1.1|X|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_146540	chr13	21573510	21574454	-	943.0	1	Olfr1364|MOR256-13|RP23-298F22.8|13 A3-A4|13|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001242580	chr1	171342237	171345645	-	1365.0	1	Nit1|AI255805|ESTM30|W57327|-|1 H3|1 79.35 cM|protein-coding	22.244	23.975	28.400	23.674	25.545	28.184	26.337	29.766	21.860	28.441	22.565
NM_134184	chr6	57322724	57323635	-	910.0	1	Vmn1r16|V1rc29|-|6 B3|6|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001037493	chr6	90619246	90646412	+	2213.0	1	Slc41a3|1010001P06Rik|AI480742|SLC41A1-L2|-|6|6 D2|protein-coding	0.369	0.372	0.298	0.158	0.839	0.698	0.413	0.798	0.526	0.853	1.699
NM_027279	chr1	163994945	163997244	+	1454.0	1	Mettl18|2810422O20Rik|C78571|-|1 H2.2|1|protein-coding	5.734	3.487	6.031	5.009	4.155	10.719	8.434	9.720	4.990	4.697	5.579
NM_009436	chr16	17898637	17900024	+	1385.0	1	Tssk2|DGS-G|SPOGA2|Stk22b|Tsk2|-|16 A3|16 11.09 cM|protein-coding	0.000	0.000	0.048	0.000	0.156	0.203	0.055	0.425	0.056	0.000	0.061
NR_027800	chr11	60920941	60931867	-	1265.0	1	Map2k3os|F3-1|Gm16516|Gtlf3a|-|11 B2|11|ncRNA	0.388	0.261	0.625	0.207	0.853	0.333	0.542	0.889	0.828	0.568	0.301
NM_001081264	chr4	99715630	99763460	+	3097.0	1	Alg6|E230028F23Rik|RP23-35D18.4|4 C6|4|protein-coding	1.412	4.884	1.150	1.915	1.909	2.698	1.635	3.215	3.922	3.932	0.559
NM_133185	chr16	5008729	5013553	-	1379.0	1	Rogdi|0610011C19Rik|AU020118|C76152|Lzf|-|16 A1|16 2.49 cM|protein-coding	5.127	2.989	5.068	3.194	3.599	7.025	5.385	4.309	2.082	2.248	4.381
NR_105964	chr2	31612421	31612484	+	63.0	1	Mir6998|mmu-mir-6998|-|-|ncRNA	0.000	0.654	0.000	0.692	1.370	0.000	0.000	0.000	3.695	2.140	0.000
NM_001039555	chr19	39688836	39741101	-	1758.0	1	Cyp2c68|9030012A22Rik|-|19 C3|19|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_172668	chr2	91457531	91513901	+	7988.0	1	Lrp4|6430526J12Rik|D230026E03|Megf7|mdig|-|2 E1|2 50.63 cM|protein-coding	0.000	0.000	0.149	0.033	0.005	0.000	0.000	0.007	0.000	0.000	0.011
NM_028922	chr19	28963920	28966801	+	2879.0	1	Ppapdc2|4932443D16Rik|-|19 C1|19|protein-coding	10.859	8.590	8.473	9.573	7.914	10.144	9.048	9.892	9.758	9.708	6.560
NR_110978	chr4	133266045	133277790	-	1392.0	1	Tmem222|5730406H10Rik|AA409341|D4Ertd196e|RP23-32C12.3|4 D2.3|4 66.25 cM|protein-coding	38.253	31.919	37.748	39.350	33.482	36.867	41.148	29.496	33.533	38.574	34.390
NM_001130194	chr8	85007203	85014408	-	1958.0	1	Best2|Vmd2l1|-|8 C3|8|protein-coding	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001008427	chr7	42660108	42692718	-	3139.0	1	Gm5595|EG434179|mszf88|-|7 B3|7|protein-coding	0.000	0.053	0.399	0.208	0.550	0.514	0.364	0.017	0.161	0.157	0.162
